l1_code,l3_code,l3_name,l3_domain,l3_status,l3_trigger,l3_exit_condition,l4_code,l4_name,l4_deliverable,l4_deliverable_type,l4_accountable_role,l4_accountable_family,l5_step,agentifiability,agent_human_touchpoint,agent_d1_input_struct,agent_d2_rule_clear,agent_d3_output_verify,agent_d4_api_reach,agent_d5_fallback,agent_d6_compliance,agent_score_total,sla_hours,sla_source,version,valid_from,source_notes
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-04,分级与权益效果监控,《分级效果报告》,报告,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-05,规则迭代与基本法对齐,规则调整提案,方案,,,,Hybrid,人工执行：规则迭代与基本法对齐,1,0,0,0,0,2,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-06,新人保底权益,《保底发放记录》,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-07,团队长带团权益,《带团权益记录》,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-08,追溯调整,《追溯调整记录》,数据表,,,,Aug,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-09,个性化定制,《个性化配置记录》,数据表,,,,Hybrid,,2,1,2,1,1,1,8,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-03,L3-FBA,理财师业务分析,代理人,active,,,L4-FBA-01,月度/季度业绩数据汇总,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FBA-01~04; 蓝图:流程蓝图_L3-FBA_理财师业务分析_V1.0.md"
L1-03,L3-FBA,理财师业务分析,代理人,active,,,L4-FBA-02,月度业绩与活动率分析,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,数据表,,,,Hybrid,人工执行：月度业绩与活动率分析,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FBA-01~04; 蓝图:流程蓝图_L3-FBA_理财师业务分析_V1.0.md"
L1-03,L3-FBA,理财师业务分析,代理人,active,,,L4-FBA-03,季度分公司经营分析,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,报告,,,,Hybrid,人工执行：季度分公司经营分析,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FBA-01~04; 蓝图:流程蓝图_L3-FBA_理财师业务分析_V1.0.md"
L1-03,L3-FBA,理财师业务分析,代理人,active,,,L4-FBA-04,分析报告定稿与总部上报,Excel/文档。按月分析业绩、活动率、转化率；按季度分析分公司经营情况,报告,,,,Hybrid,人工执行：分析报告定稿与总部上报,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FBA-01~04; 蓝图:流程蓝图_L3-FBA_理财师业务分析_V1.0.md"
L1-03,L3-FLM,理财师线索挖掘与招募,代理人,active,,,L4-FLM-01,年度/季度招募目标制定,《招募计划表》,数据表,,,,Auto,人工执行：年度/季度招募目标制定,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FLM_理财师线索挖掘与招募_V1.0.md
L1-03,L3-FLM,理财师线索挖掘与招募,代理人,active,,,L4-FLM-02,招募计划制定,Excel/纸质文档。分公司有组织发展经理记录，但总部未统一收集,数据表,,,,Auto,人工执行：招募计划制定,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FLM_理财师线索挖掘与招募_V1.0.md"
L1-03,L3-FLM,理财师线索挖掘与招募,代理人,active,,,L4-FLM-03,候选人接触与初步评估,《初步接触记录》,数据表,,,,Hybrid,人工执行：候选人接触与初步评估,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FLM_理财师线索挖掘与招募_V1.0.md
L1-03,L3-FLM,理财师线索挖掘与招募,代理人,active,,,L4-FLM-04,面试与录用决策,《面试评估记录》,数据表,,,,Hybrid,人工执行：面试与录用决策,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FLM_理财师线索挖掘与招募_V1.0.md
L1-03,L3-FOB,理财师入职与上岗,代理人,active,,,L4-FOB-01,入职资料审核与协议准备,《待签协议包》,合同,,,,Hybrid,人工执行：入职资料审核与协议准备,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FOB_理财师入职与上岗_V1.0.md
L1-03,L3-FOB,理财师入职与上岗,代理人,active,,,L4-FOB-02,协议签署与寄总部归档,PDF/纸质签署版。转介协议+权益/培训/顾问协议寄总部归档,合同,,,,Auto,人工执行：协议签署与寄总部归档,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FOB-02~03; 蓝图:流程蓝图_L3-FOB_理财师入职与上岗_V1.0.md"
L1-03,L3-FOB,理财师入职与上岗,代理人,active,,,L4-FOB-03,系统账号开通与工具配置,PDF/纸质签署版。转介协议+权益/培训/顾问协议寄总部归档,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FOB-02~03; 蓝图:流程蓝图_L3-FOB_理财师入职与上岗_V1.0.md"
L1-03,L3-FOB,理财师入职与上岗,代理人,active,,,L4-FOB-04,新人90天培养计划启动,PPT/Excel/文档。成都重庆已有成熟模型，新分公司正在整合中,方案,,,,Auto,人工执行：新人90天培养计划启动,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FOB_理财师入职与上岗_V1.0.md"
L1-03,L3-FOR,理财师运营支持,代理人,active,,,L4-FOR-01,首单陪跑配对与计划制定,《陪跑计划》,方案,,,,Auto,人工执行：首单陪跑配对与计划制定,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FOR_理财师运营支持_V1.0.md
L1-03,L3-FOR,理财师运营支持,代理人,active,,,L4-FOR-02,首单陪跑执行与记录,《首单陪跑记录》[P1],数据表,,,,Auto,人工执行：首单陪跑执行与记录,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FOR_理财师运营支持_V1.0.md
L1-03,L3-FOR,理财师运营支持,代理人,active,,,L4-FOR-03,首单陪跑,Excel/文档。多角色跟进，但记录可能未标准化,方案,,,,Hybrid,人工执行：首单陪跑,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FOR_理财师运营支持_V1.0.md"
L1-03,L3-FOR,理财师运营支持,代理人,active,,,L4-FOR-04,BIU运营（恒常出单推动）,PPT/文档。每月制定，推动恒常出单,数据表,,,,Hybrid,人工执行：BIU运营（恒常出单推动）,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FOR_理财师运营支持_V1.0.md"
L1-03,L3-FPG,理财师绩效与激励,代理人,active,,,L4-FPG-01,月度/季度考核指标设定,Excel。正在制定中，尚未定稿,数据表,,,,Hybrid,人工执行：月度/季度考核指标设定,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FPG_理财师绩效与激励_V1.0.md"
L1-03,L3-FPG,理财师绩效与激励,代理人,active,,,L4-FPG-02,月度绩效数据收集与评估,《月度绩效评估表》,数据表,,,,Hybrid,,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FPG_理财师绩效与激励_V1.0.md
L1-03,L3-FPG,理财师绩效与激励,代理人,active,,,L4-FPG-03,季度激励核算,《季度激励核算表》,数据表,,,,Auto,人工执行：季度激励核算,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-FPG_理财师绩效与激励_V1.0.md
L1-03,L3-FPG,理财师绩效与激励,代理人,active,,,L4-FPG-04,权益兑现与激励方案,Excel/文档。季度方案（非强制协议），按进人/产能给予支持,方案,,,,Hybrid,人工执行：权益兑现与激励方案,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-FPG_理财师绩效与激励_V1.0.md"
L1-03,L3-FTR,理财师培训与转介签约,代理人,active,,,L4-FTR-01,培训需求评估与课程安排,PPT/视频/表格。总部资料库，含配套督导工具和表格,方案,,,,Hybrid,人工执行：培训需求评估与课程安排,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FTR-01~04; 蓝图:流程蓝图_L3-FTR_理财师培训与转介签约_V1.0.md"
L1-03,L3-FTR,理财师培训与转介签约,代理人,active,,,L4-FTR-02,产品与合规培训执行,PPT/视频/表格。总部资料库，含配套督导工具和表格,数据表,,,,Aug,人工执行：产品与合规培训执行,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FTR-01~04; 蓝图:流程蓝图_L3-FTR_理财师培训与转介签约_V1.0.md"
L1-03,L3-FTR,理财师培训与转介签约,代理人,active,,,L4-FTR-03,实战演练与陪访配对,PPT/视频/表格。总部资料库，含配套督导工具和表格,数据表,,,,Hybrid,人工执行：实战演练与陪访配对,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FTR-01~04; 蓝图:流程蓝图_L3-FTR_理财师培训与转介签约_V1.0.md"
L1-03,L3-FTR,理财师培训与转介签约,代理人,active,,,L4-FTR-04,资料库维护与分发,PPT/视频/表格。总部资料库，含配套督导工具和表格,方案,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-FTR-01~04; 蓝图:流程蓝图_L3-FTR_理财师培训与转介签约_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-01,人效数据采集与清洗,各类分析报告,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-02,人效分析与对标,各类分析报告,报告,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-03,人员成本分析,各类分析报告,报告,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-04,薪酬市场对标分析,各类分析报告,报告,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-05,人员素质结构盘点,各类分析报告,报告,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-06,流失率分析与预警,各类分析报告,报告,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRA-01~06; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRA,人力分析与决策支持流程,人力资源,active,,,L4-HRA-07,人力诊断报告与改善建议,人力资源诊断与改善建议报告,报告,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-HRA_人力分析与决策支持_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-01,定岗定编与岗位设计,岗位编制方案+岗位JD,方案,,,,Hybrid,人工执行：定岗定编与岗位设计,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-02,招聘选拔与面试评估,劳动合同/offer+系统权限,数据表,,,,Hybrid,人工执行：招聘选拔与面试评估,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-02~03; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-03,入职配置与合同签署,劳动合同/offer+系统权限,合同,,,,Auto,人工执行：入职配置与合同签署,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-02~03; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-04,试用期考核与转正,试用期考核+成长路径方案,方案,,,,Hybrid,人工执行：试用期考核与转正,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-04~05; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-05,在职培训与发展,试用期考核+成长路径方案,数据表,,,,Hybrid,人工执行：在职培训与发展,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-04~05; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-06,绩效考核与结果应用,绩效考核结果+结果应用记录,数据表,,,,Hybrid,人工执行：绩效考核与结果应用,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-07,薪酬激励与发放,薪酬记录+晋升记录+员工档案,数据表,,,,Aug,人工执行：薪酬激励与发放,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-07~09; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-08,晋升与调岗管理,薪酬记录+晋升记录+员工档案,数据表,,,,Hybrid,人工执行：晋升与调岗管理,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-07~09; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-04,L3-HRM,人员全生命周期管理流程,人力资源,active,,,L4-HRM-09,人员退出与档案归档,薪酬记录+晋升记录+员工档案,数据表,,,,Auto,人工执行：人员退出与档案归档,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; L1映射:推断; D1范围表达式:L4-HRM-07~09; 蓝图:流程蓝图_L3-HRM_人员全生命周期管理_V1.0.md"
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-04,合同签署与监管备案,已签署合同+监管备案号,合同,,,,Aug,人工执行：合同签署与监管备案,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md"
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-05,合同启动与进入IRI,进入指令,方案,,,,Auto,人工执行：合同启动与进入IRI,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-09,合同履约前置准备,《履约前置清单》,数据表,,,,Auto,人工执行：合同履约前置准备,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-10,合同生效后信息同步,《生效通知记录》,数据表,,,,Auto,人工执行：合同生效后信息同步,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-11,合同条款版本管理,《版本变更记录》,数据表,,,,Auto,人工执行：合同条款版本管理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md
L1-02,L3-IAC-AUTH,授权确认（拆分后）,保险/MGA,active,,,L4-IAC-13,紧急授权调整,《紧急调整记录》,数据表,,,,Hybrid,人工执行：紧急授权调整,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-AUTH_授权确认_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-01,商务条款初步谈判,《商务条款备忘录》,方案,,,,Hybrid,人工执行：商务条款初步谈判,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-02,合同草拟与内部审查,《合同草案V1》,合同,,,,Hybrid,人工执行：合同草拟与内部审查,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-03,保司反馈与谈判迭代,《合同终稿》,合同,,,,Hybrid,人工执行：保司反馈与谈判迭代,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-06,授权分级获取策略,《授权获取路线图》,方案,,,,Hybrid,人工执行：授权分级获取策略,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-07,合同谈判让步边界,《让步边界清单》⚠️待建设,数据表,,,,Hybrid,人工执行：合同谈判让步边界,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-08,多部门会签并行,《会签记录》,数据表,,,,Hybrid,人工执行：多部门会签并行,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAC-NEG,合同谈判（拆分后）,保险/MGA,active,,,L4-IAC-12,跨境合同特殊处理,《跨境合规附加条款》,方案,,,,Auto,人工执行：跨境合同特殊处理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; L1映射:推断; 蓝图:流程蓝图_L3-IAC-NEG_合同谈判_V1.0.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-01,目标保司识别优先级,《目标保司清单》,数据表,,,,Hybrid,人工执行：目标保司识别优先级,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-02,首次接触与价值主张,接触反馈,方案,,,,Hybrid,人工执行：首次接触与价值主张,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-03,定制化能力展示,《能力展示材料》,方案,,,,Hybrid,人工执行：定制化能力展示,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-04,保司尽调与现场考察,《尽调回复材料》,方案,,,,Hybrid,人工执行：保司尽调与现场考察,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-05,意向确认与可行性报告,《可行性报告》,报告,,,,Auto,人工执行：意向确认与可行性报告,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md"
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-06,保司决策链图谱,《决策链图谱》,决议,,,,Hybrid,人工执行：保司决策链图谱,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-07,竞品MGA排挤应对,《应对策略记录》,数据表,,,,Hybrid,人工执行：竞品MGA排挤应对,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-08,长周期关系维护,《关系维护记录》,数据表,,,,Hybrid,人工执行：长周期关系维护,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-09,战略级保司差异化,《战略级服务方案》,方案,,,,Hybrid,人工执行：战略级保司差异化,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-10,保司内部盟友培养,《盟友地图》,方案,,,,Hybrid,人工执行：保司内部盟友培养,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
L1-02,L3-IAO,保司合作接洽与评估,保司,active,,,L4-IAO-12,保司Pipeline动态管理,《Pipeline看板》,方案,,,,Aug,人工执行：保司Pipeline动态管理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-IAO_保司合作接洽与评估_V1.1.md
