node_id,domain,node_name,l3_flow,l3_status,priority,start_point,end_point,end_standard,frequency,l4_name,value_property,physical_correspondence,data_validation,producer,consumer,single_point_risk,composition,kpi_anchors,m_anchors,strategic_note,version,last_updated,source_file
VN-INS-10,INS,周期总结报告,保司绩效评估与续约决策E2E,正常,待确认,FCT_POLICY/FCT_SALES_ACTIVITY合作周期业绩数据,《周期总结报告》,与保司共享版,每年1次,,周期总结报告以业绩报表形式存在，Mark确认存在；建议补充标准格式,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,周期总结报告,待调研确认,1.M6 业务渗透 / 2.M8 财务结算,INS域保司合作节点，保司绩效评估与续约决策E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-KAEM-01,KA,KA培训完成记录,KA赋能E2E,正常,P1,KA培训需求提出,培训完成→记录归档,-,按需执行,,,1.Excel；2.邮件记录（无标准化模板）【流程蓝图V1.1确认】培训分研讨会（多KA）和单独培训（1对1）两种形式，无统一标准模板和签到表；培训一般都是同行（KA）发起，很少由KA主动发起（KA没单就没需求）,未验证,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,培训签到表 + 培训内容纪要,培训覆盖率、培训满意度,M1 中台运营 / M4 业务渗透,培训覆盖是KA赋能的基础环节，培训覆盖率直接影响KA业务开展和产品渗透。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-KAEM-02,KA,KA资讯发放核销记录,KA赋能E2E,正常,P1,资讯配置（50篇文章,资讯发放→RW系统核销,-,按需执行,,,RW权益系统数据记录 + Excel台账【流程蓝图V1.1确认】IT系统完全不行，权益发放全靠纯手工——MoMo与马原媛口头沟通→传给杜永平记下，人手算权益激励金然后修正数据；收到即核销（无需阅读），效果无法衡量,跑通中,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,资讯配置清单 + RW系统核销记录,资讯发放率、资讯阅读率（目前收到即算）,M1 中台运营 / M5 AI自动化,资讯发放是KA赋能的持续运营环节，但核销形式化（收到即算）使实际价值存疑，需重新定义效果衡量标准。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-KAET-01,KA,KA评估定级记录,KA评估定级E2E,正常,P1,KA线索接入,评估定级记录归档 → 资源分配策略制定,-,按需执行,,,"1.Human记录（当前无标准格式，无定级体系，仅""推进；2.暂缓""两态）【流程蓝图V1.1确认】L4-KAET-04定级记录与推进为关键决策依据，触发L3-KASC；由于合规，个人不分级（一张权益包），机构分两种（普通机构；3.有牌在买）；所有权益方案由MoMo谈",未验证,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,KA评估定级记录模板,评估覆盖率、定级准确率、资源分配效率,M1 中台运营 / M4 业务渗透 / M7 产品治理,评估定级是KA全生命周期的决策入口（决定是否推进合同），当前完全依赖个人经验，无量化标准，是整个KA域最关键的结构性缺失。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-KAGA-01,KA,KA业绩汇总,KA业绩跟踪与运维E2E,正常,P1,1.签单系统数据、2.MoMo大表,KA业绩汇总报告定稿 → 策略优化输入,-,日常持续积累,,,Human汇总（MoMo手上有全量业绩大表；签单系统按人隔离，转单后不可见；WPS联动表已停用）【流程蓝图V1.1确认】L4-KAGA-01定期业绩数据收集为核心数据；每周一业绩会11条业务线都要汇报，但只是看出单，无偏差对比和策略优化,跑通中,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,KA业绩汇总报告,业绩汇总准确率、偏差对比覆盖率、策略优化闭环率,M1 中台运营 / M2 KPI报表 / M4 业务渗透,业绩汇总是的核心数据资产，直接影响策略优化和偏差分析的准确性，当前数据分散严重制约决策能力。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-KAOP-01,KA,KA上架就绪确认,KA上架准备E2E,正常,P1,合同签署完成,上架就绪确认 → 正式运营启动,-,按需执行,,,"Human记录（当前无正式确认动作，B-03待裁定后建立检查清单）【流程蓝图V1.1确认】L4-KAOP-04上架就绪确认与赋能启动为关键状态确认，触发L3-KAEM；交付经理表示没有过""上架""这个动作；系统不行（IT系统完全不行，录单都录不进去）",未验证,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,KA上架就绪确认清单,上架完成率、从签约到出单周期,M1 中台运营 / M7 产品治理,上架就绪确认是合同签署到正式运营的关键衔接点，当前无正式确认动作导致运营启动标准缺失。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-KASC-01,KA,KA合同/协议签署版,KA转介合同起草与签订E2E,正常,P1,1.培训完成、2.产品资料包发放,双方签署生效→合同管理系统归档,-,按需执行,,,PDF签署版法律文件（合同签回周期1-2个月）【流程蓝图V1.1确认】合同后置根因为内商务岗位缺失（非策略选择），此前先发合同后不出单的经验教训叠加人员缺失导致；icup交单后才起合约；BD画像表填不回来需中台主动补全,未验证,生产部门/生产岗位字段为空，待Terresa/HR校准后录入,消费主体/消费对象字段为空，待Terresa/HR校准后录入,暂无法评估（岗位数据缺失）,KA转介合同 + 签章确认,合同签回周期、合同签署率,M7 产品治理,合同签署版是实际存在的物理交付物，但合同后置根因为内商务岗位缺失，签署周期1-2个月严重拖慢整体节奏。,v1.0(提取合集校准),2026-06-25,KA域_价值节点信号提取基线_v1.0.md
VN-IBRD-01,PARTNER,合作伙伴尽调记录,合作伙伴需求分析与诊断E2E,正常,P0,业务端（白博文、江通等）推送的同行机构信息,尽调完成 → 判断合作路径（9付/UNIVIN）→ 白博文线：测算侧对接商务条款→交付经理签单；江通线：对接→其他TR签单,,按需执行,,,,,"- /测算侧：渠道评估、DD Form发出与催办、执行跟踪、计算确认、文档编制
  - 渠道管理部门负责人：推荐路径审批、渠道关闭审批、DD排期
  - 财务部：股东穿透查册执行、查册预算管理
  - CO/合规(Teresa)：AML查询、风险三级评估、DD年度更新、DD Form变更发布、合规审核
  - RO(全体)：DD Form审核、DD Form变更确认回执
  - 交付经理(Amy/等)：签单执行、首单支持、培训赋能、客情维护
  - Speaker 4：RO协调","- BD(白博文/江通)：推送渠道线索→交付经理跟进
  - 渠道业务负责人：渠道业绩考核、交付经理任命
  - Mark/管理层：高风险渠道升级审批
  - 产品定价策略：佣金比较口径确认",**中等**——/测算侧承担从评估到签单的全链路，关键节点有CO/合规双人复核；但DD流程依赖线下文档和邮件，系统化程度低,,待调研确认,1.M0 数理基建 ｜ 2.M1 中台运营 ｜ 3.M4 业务渗透 ｜ 4.M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-MGA-01,PARTNER,联合运营需求诊断包,联合运营需求诊断E2E,正常,P1,1.合作伙伴接触意向 ｜ 2.机构基础信息,《需求诊断报告》,BD/Mark确认版,按需（每次新合作伙伴接触）,,,,,,,,重复机构检查报告 + 数字化成熟度报告 + 商机规模预测 + 战略匹配度评分 + 需求诊断报告,1.商机转化率 ｜ 2.诊断报告交付周期,1.M3 NGP ｜ 2.M4 业务渗透,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-MGA-02,PARTNER,联合运营框架方案,联合运营框架方案E2E,正常,P1,《需求诊断报告》[确认版],《联合运营框架方案》,审核版,按需执行,,,,,,,,联合运营框架方案 + 定制化内容方案设计 + (补充说明),1.方案审核通过率 ｜ 2.方案交付周期,1.M3 NGP ｜ 2.M4 业务渗透,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-MGA-03,PARTNER,联合运营合约包,联合运营合约E2E,正常,P1,《联合运营框架方案》[审核版],1.《已签署合同 ｜ 2.交付物包》,双方签署 ｜ 3.合规终验版,按需（每次合作落地）,,,,,,,,(补充说明),1.合同签署周期 ｜ 2.交付物完整率 ｜ 3.合同模板复用率,1.M3 NGP ｜ 2.M4 业务渗透 ｜ 3.M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-RSJD-01,PARTNER,保单销售报告,经代机构销售业务执行E2E,新建,P1,客户财务需求与保险需求确认,客户签署风险披露文件与计划书确认,,按需执行,,,,,,,,客户需求分析 + 产品对比 + 风险披露 + 知情同意 + 计划书确认,1.风险披露完成率 ｜ 2.产品适当性符合率 ｜ 3.客户知情同意书签署率,1.M6 业务渗透 ｜ 2.M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-RSJD-02,PARTNER,保单合同,经代机构销售业务执行E2E,新建,P1,保单核保完成,客户签收保单合同并回执,,按需执行,,,,,,,,,1.保单签收率 ｜ 2.保单交付时效 ｜ 3.Pending处理时效,1.M7 产品治理 ｜ 2.M8 财务结算,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-RSJD-03,PARTNER,审计报告,经代机构销售业务执行E2E,新建,P1,审计批次与样本确定,整改事项输出与闭环跟踪,,按需执行,,,,,,,,(补充说明),1.回访完成率 ｜ 2.异常件整改率 ｜ 3.档案保管合规率,1.M0 数理基建 ｜ 2.M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-URD-01,PARTNER,联合运营需求诊断报告,联合运营需求诊断E2E,正常,P1,1.《尽职调查执行记录》 ｜ 2.《业务目标量化》,《需求诊断报告》,,日常持续积累,,,,,,,,重复机构检查报告 + 数字化成熟度报告 + 商机规模预测 + 战略匹配度评分 + 需求诊断报告,待调研确认,1.M0 数理基建 ｜ 2.M1 中台运营 ｜ 3.M4 业务渗透,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-ASD-01,PARTNER,投诉处理报告,经代机构售后服务E2E,新建,P1,客户投诉通过热线/电邮接收,投诉覆核委员会（CRC）作出处理结论,,按需执行,,,,,,,,,1.投诉处理时效 ｜ 2.投诉闭环率 ｜ 3.客户投诉升级率,1.M1 中台运营 ｜ 2.M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-ASD-02,PARTNER,售后服务质量监控报告,经代机构售后服务E2E,新建,P1,监控周期开始,监控报告输出并推动整改,,按需执行,,,,,,,,投诉量统计 + 处理时效 + 整改建议 + 服务质量评分,1.投诉处理时效 ｜ 2.客户满意度 ｜ 3.整改完成率,M7 产品治理,,v1.0(提取合集校准),2026-06-25,PARTNER域_价值节点信号提取基线_v1.0.md
VN-PAY-01,PAY,市场佣金制作产出包,市场佣金制作E2E,正常,P0,保险公司源头佣金PDF/Excel（季度）,《市场佣金表(月)》v.final,—,每季度1次，每月1次,,,,,[佣金制表执行岗] / [佣金数据录入岗]（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,对账环节 / 应派计算 / 产品策略复盘（v2.0数据表中消费主体/消费对象字段为空，继承自旧基线）,存在——生产方共两人，边界尚可；若任一离职存在技能断档风险,季度源头佣金表 + 市场佣金表 + 源头PDF合订,KPI#15 佣金回收周期、KPI#16 佣金口径准确率,M0 数理基建 / M6 业务渗透 / M7 产品治理（3个M闭环）,佣金数据是所有后续对账和应派计算的源头，准确性和时效性直接影响整个财务支付链条。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-02,PAY,佣金实收确认表,佣金应收实收对账E2E,正常,P0,银行流水CSV + 财务记账凭证,《实收佣金对账表》,已对平,每月2次,,,,,[佣金对账执行岗]（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,应派计算环节 / 财务出账（v2.0数据表中消费主体/消费对象字段为空，继承自旧基线）,**存在**——生产方仅一人，为明确单点,应收佣金核对表 + 实收佣金对账表 + 银行回单截图,KPI#17 对账差异率、KPI#18 对账时效,M0 数理基建 / M8 财务结算（2个M闭环）,佣金实收确认是现金真实落账的唯一验证点，差异定位直接影响资金安全。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-03,PAY,应派清单三件套,应派计算与争议处理E2E,正常,P0,实收对账确认 + 协议参数（分润比例）,《应派清单》,Mark签核版,每月2次,,,,,[佣金对账执行岗] / [应派计算执行岗]（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,VN-PAY-04 实派执行环节（v2.0数据表中消费主体/消费对象字段为空，继承自旧基线）,存在——两人协作，边界主要在佣金侧和应派侧分工,应派给理财师 + 应派给销售员 + 争议留痕表,KPI#19 应派准确率、KPI#20 争议关闭周期,M0 数理基建 / M2 KPI报表 / M8 财务结算（3个M闭环）,应派计算是理财师和销售员权益兑现的核心凭证，准确性和争议处理直接影响人员稳定性。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-04,PAY,转介费派发确认台账,实派执行与回执沉淀E2E,正常,P0,应派清单（Mark签核）,《派发确认台账》,已对账 + 合规通过,每月2次,,,,,[佣金对账执行岗] + [合规管理岗]（合规管理岗当前空缺，待Mark裁定）,监管报送 / IA审计,**严重**——合规岗当前空缺，执行岗一人承担执行+合规双重职责；合规缺失是监管风险敞口,转介费派发表 + 银行付款回执包 + IA合规留痕,KPI#21 非持牌占比≤50%（IA硬指标）、同行支付≤88%（IA硬指标）,M0 数理基建 / M7 产品治理 / M8 财务结算（3个M闭环）,PAY域中唯一的合规生命线节点，一旦IA阈值超标即触发监管风险，是整个财务支付板块的最高风险点。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-05,PAY,INVOICE/激励结算单,服务结算E2E,正常,P0,NGM / Apass / 服务订单系统,《服务价值汇总表》,财务结账版,每月2次,,,,,[应派计算执行岗] / [服务台账管理岗]（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,VN-PAY-06 综合应派计算（v2.0数据表中消费主体/消费对象字段为空，继承自旧基线）,存在——两人协作,INVOICE对账单 + 经纪人激励结算单,结算准确率、结算时效、双口径差异率（v2.0更新）；（历史参考：KPI#22 服务交付率、KPI#23 服务-佣金联动比）,M0 数理基建 / M1 中台运营 / M3 NGP / M8 财务结算（4个M闭环）,增值服务是NGM/Apass体系外收入归口，服务-佣金联动直接影响理财师综合收益的完整性和公平性。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-06,PAY,理财师综合应派计算清单,理财师权益兑现E2E,正常,P0,协议库 + 奖金规则,《综合应派清单》,Mark签核 + 理财师确认,每月1次,,,,,[应派计算执行岗] + [佣金对账执行岗]（合作）（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,理财师 / Mark签核,存在——协议参数散落各处，人工合并依赖执行岗经验,佣金应派 + 服务应派 + 奖金应派 + 股权/分红应派 + 四类协议附件,KPI#24 理财师NPS、KPI#25 综合应派一次通过率,M2 KPI报表 / M3 NGP / M7 产品治理 / M8 财务结算（4个M闭环）,综合应派是理财师权益兑现的最终呈现，直接影响理财师满意度和人员留存。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-07,PAY,银行权益活动费对账单,银行权益活动费报送E2E,正常,P1,银行合作协议 + 活动执行记录,《活动费对账单》,已结清,每周1次，每月1次汇总,,,,,[服务台账管理岗]（v2.0数据表中生产部门/生产岗位字段为空，岗位信息继承自旧基线，待Terresa/HR校准）,M1中台运营 / M5 AI自动化（v2.0数据表中消费主体/消费对象字段为空，继承自旧基线）,**存在**——生产方仅一人,活动费应收 + 活动费实收 + 活动凭证包,KPI#26 活动费回款时效、银行合作维度数,M1 中台运营 / M5 AI自动化 / M8 财务结算（3个M闭环）,银行权益活动是银行合作生态的收入归口，归口规范化后可支撑AI自动化对账和ROI分析。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-08,PAY,报销凭证包,员工报销E2E(新建L3-EXP),新建,P1,员工提单 + 收据/发票,《报销凭证包》,审批完成 + 财务出账,每月1次,,,,,[行政/HR管理岗]（待定，待Mark指派）,财务出账,**严重**——岗位责任主体未确定，流程完全纸质化无备份,报销申请表 + 电子化凭证 + 审批留痕,KPI#27 报销周期、合规率,M5 AI自动化 / M8 财务结算（2个M闭环）,员工体验基础项，与核心权益结算解耦后可独立推进，优先度低于P0节点。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-PAY-09,PAY,NGM→Apass→宿安→天领体系外对账表,体系外资金对账E2E(空缺L3),正常,P0,体系外资金流,《体系外对账表》,与田总确认版,待定,,,,,[待确认岗位]（待定，Mark裁定）,集团合并报表,**极严重**——整个闭环完全缺失，无责任人、无流程、无系统覆盖,体系外资金台账 + BP V2缺失闭环映射,体系外资金覆盖率、对账完整度（v2.0更新，尚未分配KPI编号）,M0 数理基建 / M3 NGP / M8 财务结算（3个M闭环）,37.2M HKD的体系外资金完全无数据覆盖，是集团合并报表的重大缺口，属于最高优先级的熔断事项。,v1.0(提取合集校准),2026-06-25,PAY域_价值节点信号提取基线_v1.0.md
VN-BAM-01,TREASURY,银行账户全生命周期管理资产包,银行账户基础设施管理E2E,正常,P0,开户需求,账户全生命周期档案闭环归档,⚠ 未定义,每月1次,,L4 输出 开户资料清单，支撑流程闭环,,,,,,开户资料清单 + U盾登记台账 + 月度对账单接收清单 + 账户状态盘点表 + U盾变更/交接记录 + 银行费用汇总表 + 账户全生命周期档案袋,"- 账户盘点覆盖率
  - U盾交接合规率
  - 档案完整率","- M0 数理基建
  - M7 产品治理
  - M8 财务结算",银行账户全生命周期管理资产包的规范化运营是TREASURY域治理的基础节点。,v1.0(提取合集校准),2026-06-25,TREASURY域_价值节点信号提取基线_v1.0.md
VN-BAM-02,TREASURY,银行准入评估与支付工具管理记录,银行账户基础设施管理E2E,正常,P1,开户需求/支付需求,支票领用登记闭环,⚠ 未定义,每月1次,,L4 输出 开户资料清单，支撑流程闭环,,,,,,银行准入评估表 + 支票领用登记台账,"- 银行准入合规率
  - 支票使用合规率","- M7 产品治理
  - M8 财务结算",银行准入评估与支付工具管理记录的规范化运营是TREASURY域治理的基础节点。,v1.0(提取合集校准),2026-06-25,TREASURY域_价值节点信号提取基线_v1.0.md
VN-CFM-01,TREASURY,现金流管理报告包,现金流规划与资金调度管理E2E,正常,P0,收款预测,现金流预测报告定稿归档,⚠ 未定义,每周1次,,L4 输出 各业务线收款预测表，支撑流程闭环,,,,,,收款预测表 + 周付款计划表 + 缺口预警 + 调度方案 + 跨主体调拨审批单 + 资金池监控表 + 银行结余台账 + 周度结余报表 + 月度现金流预测报告,"- 预测准确率
  - 缺口预警及时率
  - 资金调拨合规率","- M0 数理基建
  - M1 中台运营
  - M8 财务结算",现金流管理报告包的规范化运营是TREASURY域治理的基础节点。,v1.0(提取合集校准),2026-06-25,TREASURY域_价值节点信号提取基线_v1.0.md
VN-CFM-02,TREASURY,资金付款审批单,现金流规划与资金调度管理E2E,正常,P1,业务付款需求,资金付款执行,⚠ 未定义,每周1次,,L4 输出 各业务线收款预测表，支撑流程闭环,,,,,,资金付款审批单,"- 付款审批覆盖率
  - 原始凭证完整率
  - 复核准确率","- M7 产品治理
  - M8 财务结算",资金付款审批单的规范化运营是TREASURY域治理的基础节点。,v1.0(提取合集校准),2026-06-25,TREASURY域_价值节点信号提取基线_v1.0.md
VN-EQ-11,EQ,经确认的客户权益需求清单,,,,,,,,,,,,,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-EQ-11_经确认的客户权益需求清单_v0.1.md
VN-FBA-02,FA,机构季度经营分析报告提交与会议使用,,,,季度经营分析会前两周，总部下发开会通知,,,,,,,,机构负责人（编制报告）；总部经营管理团队（组织会议）,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-FBA-02_机构季度经营分析报告_v0.1.md
VN-FBA-03,FA,季度过程经营考核项设定与采集,,,,每季度经营分析会前，总部下发当季过程考核项,,,,,,,,总部经营管理团队（设定与汇总）；分公司分总/产品经理/组织发展经理（执行与反馈）,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-FBA-03_季度过程经营考核项_v0.1.md
VN-FBA-05,FA,分公司招募执行记录归档与总部取数,,,,分公司完成当月招募活动后一周内（常规归档）；总部按需取数时（触发提交）,,,,,,,,分公司组织发展经理（执行维护）；总部经营管理团队（取数）,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-FBA-05_分公司招募执行记录归档_v0.1.md
VN-HR-01,HR,中后台内勤季度绩效评定与发放,,,,每季度初，业绩数据统计方确认各业务线业绩达到发放标准线后启动,,,,,,,,HRBP / Fiona（执行汇总）；各部门负责人（部门内打分与分配）；Mark（最终审批）,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-HR-01_中后台内勤季度绩效评定_v0.1.md
VN-HR-02,HR,员工花名册分地维护与查询,,,,需要查询全公司（含内地、香港）员工信息时；员工信息发生变更时,,,,,,,,刘丽（内地花名册维护）；香港侧负责人（待明确）（香港花名册维护）,,,,,,,05_SOP直接来源(不在02层8域批次内),2026-07-25,SOP_VN-HR-02_员工花名册分地维护_v0.1.md
