gap_id,node_id,node_name,domain,description,gap_type,gap_subtype,priority,extractability,status,resolution_note,linked_rule_id,linked_recording_md,sop_status,sop_field_affected,resolution_date
PARTNER-G037,VN-ASD-02,,PARTNER,整改建议质量取决于分析人员的根因分析深度（表面症状vs系统性根因），轻量级整改（改话术）替代深层次流程改进（改SOP/改系统）是一种系统性风险；整改落地跟踪无系统闭环（无责任人/无到期日/无验收标准），“建议”止步于“建议”,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G038,VN-ASD-02,,PARTNER,服务质量评分的权重体系未经周期性校验（不同业务阶段和客户关注重点动态变化），一刀切权重可能误导资源配置和绩效考核方向；评分结果与机构/人员考核强挂钩时，存在指标被选择性关注（“刷分>实质提升”）的游戏化操纵风险,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G039,VN-IBRD-01,合作伙伴尽调记录,PARTNER,多牌照机构(资管/证券)的路由与风险规避缺少书面标准，现行资管牌走DW口径已被个案推翻，需建立牌照类型x渠道风险分级x路由矩阵,制度标准空白,B类·信息缺失,P0,partial,open,,,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G040,VN-IBRD-01,合作伙伴尽调记录,PARTNER,同行业绩档位层级、跨度、考察期与调整标准未成文，当前以业务负责人市场判断为首要依据，自述业绩规模不可单独作为定档依据,制度标准空白,A类·信息缺失,P1,partial,open,,,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G041,VN-IBRD-01,合作伙伴尽调记录,PARTNER,查册费用(付费服务)的预算来源和审批流程尚未书面化；需财务部确认标准SOP和预算归属,制度标准空白,A类·信息缺失,P1,full,open,,IBRD001-R012,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G042,VN-IBRD-01,合作伙伴尽调记录,PARTNER,DD Form修改后通知RO的时效和回执确认流程尚未落地验证；需等2026-06-09会议后跟踪确认,流程空白,A类·信息缺失,P1,full,open,,IBRD001-R013,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G043,VN-IBRD-01,合作伙伴尽调记录,PARTNER,Uniwin高10%的计算比较口径需商务部门确认(当前依赖菲菲/MOMO经验，无正式文档),数据空白,B类·岗位边界,P1,full,open,,IBRD001-R014,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G044,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需Teresa主导DD Form修改和RO通知，行动已排期2026-06-09,流程空白,C类·系统裁定,P1,full,open,,IBRD001-R015,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G045,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需要渠道管理部门制定存量渠道补充尽调的优先级和排期计划,流程空白,C类·系统裁定,P1,full,open,,IBRD001-R016,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G046,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需财务部在本月内确定查册SOP和费用标准,制度标准空白,C类·系统裁定,P1,full,open,,IBRD001-R017,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G047,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需HR与渠道业务负责人共同完成JD/KPI更新,组织空白,C类·系统裁定,P1,full,open,,IBRD001-R018,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G048,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需在本季度内完成核心渠道的推荐路径标准化文档,制度标准空白,C类·系统裁定,P1,full,open,,IBRD001-R019,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PARTNER-G049,VN-IBRD-01,合作伙伴尽调记录,PARTNER,需IT评估线上化方案并与Teresa对齐需求,工具空白,C类·系统裁定,P1,full,open,,IBRD001-R020,NBRD（菲菲+momo）-结构化信号提取（jasper版）.md,未生成,,
PAY-G001,VN-PAY-01,季度源头佣金表,PAY,保险公司提供的PDF/Excel数据完整性和口径一致性无校验机制；源头PDF需OCR/标准化录入才可机器追溯（Signal3 Gate③=PARTIAL）。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,执行动作|数据来源,
PAY-G002,VN-PAY-01,市场佣金表,PAY,月度表版本号和v.final锁定未形成规则；版本不一致时回退到哪个版本无规则。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,执行动作,
PAY-G003,VN-PAY-01,源头PDF合订,PAY,PDF完整性（是否每季度都收到了所有保司的推送）无系统校验。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,触发条件|执行动作,
PAY-G004,VN-PAY-02,应收佣金核对表,PAY,应收核对表与实收对账表之间的差异如何消解无标准化流程。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,执行动作,
PAY-G005,VN-PAY-02,实收佣金对账表,PAY,实收对账表中的“已对平”状态如何定义和锁定未形成规则。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,达标标准,
PAY-G006,VN-PAY-02,银行回单截图,PAY,回单完整性和可追溯性依赖人工维护，OCR未上线时无法自动化归档。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,执行动作,
PAY-G007,VN-PAY-03,应派给理财师,PAY,应派金额的计算公式和版本未锁定为书面规则。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G008,VN-PAY-03,应派给销售员,PAY,两份表分母基数一致性未验证。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G009,VN-PAY-03,争议留痕表,PAY,同类争议反复出现但无法系统性改进；争议关闭时效无KPI监控。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G010,VN-PAY-05,INVOICE对账单,PAY,体系外系统推送的服务数据范围是否覆盖所有需归集的服务类型无确认。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G011,VN-PAY-05,经纪人激励结算单,PAY,联动公式的变更历史和生效时间无记录，公式调整后历史数据不可复现。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G012,VN-PAY-07,活动费应收,PAY,应收金额的计算是否与合同条款一致无独立验证。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G013,VN-PAY-07,活动费实收,PAY,实收确认的标准和依据未明确，实收金额无人独立验证。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G014,VN-PAY-07,活动凭证包,PAY,每场活动是否都产生了必要凭证无标准检查清单。,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
PAY-G015,VN-PAY-02,佣金实收确认表,PAY,历史旧单(14-23年)应收实收差异核对流程断代，原负责人(佐佐)已离职，深圳雷心仅负责数据转录不负责核对，当前无人知晓具体操作方法,制度标准空白,B类·信息缺失,P1,partial,open,,,财务（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G016,VN-PAY-02,佣金实收确认表,PAY,续保单录入数据验收规则(Jojo-CC协作模式)的二次核对标准随人员离职丢失，仅靠核对总数无法保证准确性，存在错派风险,制度标准空白,B类·信息缺失,P1,partial,open,,,财务（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作|达标标准,
PAY-G017,VN-PAY-02,佣金实收确认表,PAY,多差异并存时处理顺序及多收不主动处理(少收才处理，保司追才认数)口径是否可作为正式规则，需管理层裁定合规与客户公平性问题,制度标准空白,C类·系统裁定,P0,partial,open,,,财务（二轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G018,VN-PAY-02,佣金实收确认表,PAY,人民币汇率月度/当日/即时口径与保司清单缺乏文档化说明,数据空白,A类·信息缺失,P2,partial,open,,,财务（二轮）-结构化信号提取（jasper版）.md,未生成,数据来源,
PAY-G019,VN-PAY-02,佣金实收确认表,PAY,西西团队回传对账表的验证细则(字段校验/总数核对/差异勾稽)需由实际对接人补充，受访人未对接此流程,制度标准空白,B类·岗位边界,P1,partial,open,,,财务（二轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G020,VN-PAY-01,市场佣金制作产出包,PAY,PI/non-PI产品完整清单缺失，当前凭PDF标注和个人判断，影响公式准确性和新脚本字段覆盖,数据空白,A类·信息缺失,P1,full,open,,EFA001-R018,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作|例外情况,
PAY-G021,VN-PAY-01,市场佣金制作产出包,PAY,友邦原始Excel仅含二A档，二A~D全档位覆盖率不足；各档位佣金计算逻辑未标准化，依赖单人经验,制度标准空白,A类·信息缺失,P1,full,open,,EFA001-R019,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G022,VN-PAY-01,市场佣金制作产出包,PAY,常理校验规则未结构化、未纳入自动校验脚本，依赖人工经验+测算侧逐单逆推,工具空白,A类·信息缺失,P1,full,open,,EFA001-R020,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G023,VN-PAY-01,市场佣金制作产出包,PAY,常卖年龄边界(0~61.5岁)未书面化，超范围产品临时回查保司原件，非制度化响应,制度标准空白,A类·信息缺失,P1,full,open,,EFA001-R021,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G024,VN-PAY-01,市场佣金制作产出包,PAY,合规准确率100%门槛已明确，但验收流程、频率、抽查比例、归档规范未书面化,制度标准空白,A类·信息缺失,P1,full,open,,EFA001-R022,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,达标标准,
PAY-G025,VN-PAY-01,市场佣金制作产出包,PAY,系统对同产品有效期重叠不报错(不取最新)，错误被动发现；自动检测与告警机制缺失,工具空白,A类·信息缺失,P1,full,open,,EFA001-R023,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G026,VN-PAY-01,市场佣金制作产出包,PAY,不常卖与常卖产品的划分标准未量化(目前以万年青为唯一常卖)，影响自动化更新排程,制度标准空白,A类·信息缺失,P1,full,open,,EFA001-R024,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G027,VN-PAY-01,市场佣金制作产出包,PAY,市场侧策略调整与保司源头规则的差异缺少统一说明模板和审批记录,流程空白,A类·信息缺失,P1,full,open,,EFA001-R025,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G028,VN-PAY-01,市场佣金制作产出包,PAY,需要产品部提供权威的产品分类清单(当前仅有佣金表上不完整清单)，属跨部门依赖,制度标准空白,B类·岗位边界,P1,full,open,,EFA001-R034,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作|交付物负责人,
PAY-G029,VN-PAY-01,市场佣金制作产出包,PAY,保护层check时间规则需财务部门界定，超出刘敏然职责范围,制度标准空白,B类·岗位边界,P1,full,open,,EFA001-R039,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作|交付物负责人,
PAY-G030,VN-PAY-01,市场佣金制作产出包,PAY,需要Mark/管理层裁定资源投入，建立保司PDF格式对照表数据库,制度标准空白,C类·系统裁定,P1,full,open,,EFA001-R026,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G031,VN-PAY-01,市场佣金制作产出包,PAY,需要协调工程+刘敏然+产品部资源，建设规则字典和测试用例库,工具空白,C类·系统裁定,P1,full,open,,EFA001-R027,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G032,VN-PAY-01,市场佣金制作产出包,PAY,OCR/结构化提取投入需要Mark决策，涉及预算、人力和技术路线选择,工具空白,C类·系统裁定,P1,full,open,,EFA001-R028,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G033,VN-PAY-01,市场佣金制作产出包,PAY,招聘B角交叉验证岗位需管理层审批，涉及HC和招聘周期,组织空白,C类·系统裁定,P1,full,open,,EFA001-R029,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作|交付物负责人,
PAY-G034,VN-PAY-01,市场佣金制作产出包,PAY,需要工程资源建设自动检查机制(历史系统曾具备，需重建),工具空白,C类·系统裁定,P1,full,open,,EFA001-R030,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G035,VN-PAY-01,市场佣金制作产出包,PAY,需要协调多部门定义端到端数据契约(当前流程依赖个人经验，不可复用),流程空白,C类·系统裁定,P1,full,open,,EFA001-R031,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,数据来源,
PAY-G036,VN-PAY-01,市场佣金制作产出包,PAY,需要Mark裁定跨部门机制建立(财务抽查属跨部门协同),制度标准空白,C类·系统裁定,P1,full,open,,EFA001-R032,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,达标标准,
PAY-G037,VN-PAY-01,市场佣金制作产出包,PAY,宣导培训需Mark裁定资源(时间+人力)并划定强制执行窗口,组织空白,C类·系统裁定,P1,full,open,,EFA001-R033,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G038,VN-PAY-01,市场佣金制作产出包,PAY,需要跨部门联合定义分级标准(当前T+1/延长无具体量化),制度标准空白,C类·系统裁定,P1,full,open,,EFA001-R035,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G039,VN-PAY-01,市场佣金制作产出包,PAY,将口头经验外化为书面SOP需投入编制时间和审核资源,制度标准空白,C类·系统裁定,P1,full,open,,EFA001-R036,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G040,VN-PAY-01,市场佣金制作产出包,PAY,Carrie已确认将产出ETL修改SOP，需Mark裁定时限和优先级,制度标准空白,C类·系统裁定,P1,full,open,,EFA001-R037,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G041,VN-PAY-01,市场佣金制作产出包,PAY,知识库建设需Mark裁定负责人和时间表(当前仅框架明确，未启动),工具空白,C类·系统裁定,P1,full,open,,EFA001-R038,刘敏然（首轮）-结构化信号提取（jasper版）.md,未生成,数据来源,
PAY-G042,VN-PAY-02,佣金实收确认表,PAY,主数据变更目前通过共享在线表执行，无审批流程和版本冻结机制；需明确审批链和书面化SOP,制度标准空白,A类·信息缺失,P1,full,open,,PAY002-R009,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G043,VN-PAY-02,佣金实收确认表,PAY,应派表发布前无实时校验触发机制(gap002，P0红线)；需明确校验触发条件和系统化方案,工具空白,A类·信息缺失,P0,full,open,,PAY002-R010,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,触发条件|执行动作,
PAY-G044,VN-PAY-02,佣金实收确认表,PAY,Total口径计算公式尚未由测算侧书面化给结算侧；需MOMO/刘敏然确认公式,制度标准空白,A类·信息缺失,P1,full,open,,PAY002-R011,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G045,VN-PAY-02,佣金实收确认表,PAY,收款主体映射变更目前为口头通知即执行的模式，无审批流、版本管理和审计留痕,制度标准空白,A类·信息缺失,P1,full,open,,PAY002-R012,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G046,VN-PAY-03,应派清单三件套,PAY,出表前最终校核岗位的责任归属不清(财务vs合规vs数据执行侧)，需管理层裁定,组织空白,B类·岗位边界,P1,full,open,,PAY002-R013,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,交付物负责人,
PAY-G047,VN-PAY-02,佣金实收确认表,PAY,彭文配置费率后无独立交叉验证，结算侧无法复核费率准确性；需管理层确定复核岗位归属,组织空白,B类·岗位边界,P1,full,open,,PAY002-R014,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作|交付物负责人,
PAY-G048,VN-PAY-02,佣金实收确认表,PAY,需要管理层裁定主数据治理优先级和平台选型,制度标准空白,C类·系统裁定,P1,full,open,,PAY002-R015,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,交付物负责人,
PAY-G049,VN-PAY-02,佣金实收确认表,PAY,当前完全依赖人工(gap002，P0红线)；需Mark裁定开发优先级和资源,工具空白,C类·系统裁定,P0,full,open,,PAY002-R016,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作,
PAY-G050,VN-PAY-02,佣金实收确认表,PAY,当前结算仅一人无AB角(P0单点风险)；需管理层批准HC和招聘计划,组织空白,C类·系统裁定,P0,full,open,,PAY002-R017,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,交付物负责人,
PAY-G051,VN-PAY-03,应派清单三件套,PAY,当前SOP过期未维护；需管理层批准蔡依娜编制时间,制度标准空白,C类·系统裁定,P1,full,open,,PAY002-R018,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,,
PAY-G052,VN-PAY-02,佣金实收确认表,PAY,当前字典无人维护、无法访问；需Mark裁定主数据治理项目负责人和资源,制度标准空白,C类·系统裁定,P1,full,open,,PAY002-R019,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,交付物负责人,
PAY-G053,VN-PAY-02,佣金实收确认表,PAY,当前企微和邮件分散留痕审计合规性不足；需Mark裁定审批系统选型和实施时间,工具空白,C类·系统裁定,P1,full,open,,PAY002-R020,蔡依娜（首次）-结构化信号提取（jasper版）.md,未生成,执行动作|数据来源,
PAY-G054,VN-PAY-05,INVOICE/激励结算单,PAY,Shortage 100港币上限尚未书面化，依赖口头经验；需财务总监正式发文明确阈值和会计处理,制度标准空白,A类·信息缺失,P1,full,open,,PAY005-R005,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G055,VN-PAY-05,INVOICE/激励结算单,PAY,财务与中台在对账差异拆解环节的RACI未书面化；需明确每个差异原因类别的责任归属和时限,组织空白,A类·信息缺失,P1,full,open,,PAY005-R006,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G056,VN-PAY-05,INVOICE/激励结算单,PAY,当前交接为口传心授模式，新人上手3-6个月；SOP内容完整性和培训效果尚未验证,制度标准空白,A类·信息缺失,P1,full,open,,PAY005-R008,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G057,VN-PAY-05,INVOICE/激励结算单,PAY,永明要求提供明细对账单属外部合作谈判议题，依赖渠道管理部门推动，超出财务直接控制范围,流程空白,B类·岗位边界,P1,full,open,,PAY005-R007,财务（首轮）-结构化信号提取（jasper版）.md,未生成,跨节点依赖,
PAY-G058,VN-PAY-05,INVOICE/激励结算单,PAY,需要管理层推动跨部门SOP制定和签署(当前口头协作模式),制度标准空白,C类·系统裁定,P1,full,open,,PAY005-R009,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G059,VN-PAY-05,INVOICE/激励结算单,PAY,需要跨部门协作编制汇率规则总表(≥13家保司),数据空白,C类·系统裁定,P1,full,open,,PAY005-R010,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G060,VN-PAY-05,INVOICE/激励结算单,PAY,需要财务总监裁定会计科目设置和年度预算编制,制度标准空白,C类·系统裁定,P1,full,open,,PAY005-R011,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G061,VN-PAY-05,INVOICE/激励结算单,PAY,外部合作谈判，需C-level确定谈判优先级和底线,流程空白,C类·系统裁定,P1,full,open,,PAY005-R012,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
PAY-G062,VN-PAY-05,INVOICE/激励结算单,PAY,当前单点依赖Chaya/Soso(P0)；需CFO批准资源推动SOP文档化和培训,组织空白,C类·系统裁定,P0,full,open,,PAY005-R013,财务（首轮）-结构化信号提取（jasper版）.md,未生成,,
TREASURY-G001,VN-BAM-02,,TREASURY,银行准入评估结论与后续账户操作的联动关系未形成闭环记录；评估表的时效性（评估有效期）未定义,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
TREASURY-G002,VN-BAM-02,,TREASURY,支票全生命周期（领用→使用→归还/作废→销号）的状态流转未被系统化记录；终点标准字段为空，缺少流程闭环的质量标尺,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
TREASURY-G003,VN-CFM-02,,TREASURY,资金付款执行前，审批单上的业务审批意见和财务复核意见是否有实质内容无从验证；原始凭证和计算逻辑的完整性和准确性缺乏系统校验,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
