rule_id,node_id,rule_name,rule_class,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,data_anchor,externalized,gap_type,gap_description,priority,source,round,source_recording,version,legacy_rule_id,domain
PAY-R027,VN-PAY-01,建立规则字典与测试用例库,C类,脚本升级/新增字段的回归测试需求,建立参数字典(PI/融资/预缴/basic/extra等)及覆盖所有保司的测试用例,发布前回归测试全部通过，差异报告为零,未覆盖的新保司/新产品推迟上线,Carrie(测试建设)+刘敏然(用例提供)+产品部(参数字典),(无，新建设),未记录,C类·系统裁定,需要协调工程+刘敏然+产品部资源，建设规则字典和测试用例库(当前依赖全量人工比对),P0,首轮·INSIGHT,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R027,PAY
PAY-R028,VN-PAY-01,OCR结构化提取投入决策,C类,脚本稳定且财务/测算全面采用后,评估OCR/结构化提取技术可行性及ROI，决定投入时机和资源,OCR准确率达标+人工复核成本低于纯手工,当前优先完成脚本完善与消费方培训，OCR暂不投入,技术与产品负责人+Mark(裁定),(待决策),未记录,C类·系统裁定,"OCR/结构化提取投入需要Mark决策,涉及预算、人力和技术路线选择",P2,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R028,PAY
PAY-R029,VN-PAY-01,招聘B角交叉验证岗,C类,当前佣金录入/校验仅一人执行，单点风险存在,恢复/新建交叉验证岗位，设定双人四眼原则，在生产前段完成QC,B角到位且双人校验流程生效,B角到岗前过渡期：维持全量自检+保留原始Excel校验,部门负责人(审批招聘).数据质量岗.刘敏然,(待招聘),未记录,C类·系统裁定,招聘B角交叉验证岗位需管理层审批，涉及HC和招聘周期,P0,首轮·EXECUTION+二轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R029,PAY
PAY-R030,VN-PAY-01,建立季度自动有效期检查,C类,每季度AGG表生成后,系统自动扫描全部产品有效期(起止字段)，输出即将到期/已过期/重叠清单,误报率<5%，全部异常可追溯,不同保司有效期策略差异需适配,工程团队(实现).数据质量团队(规则).刘敏然(字段映射),FACT_COMMISSION_RATE(自动扫描),未记录,C类·系统裁定,需要工程资源建设自动检查机制(历史系统曾具备，需重建)；Mark需裁定优先级,P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R030,PAY
PAY-R031,VN-PAY-01,建立端到端数据流程图,C类,向新脚本/新财务用户说明数据流转，或新员工培训,绘制从保司PDF/Excel→准入表→脚本→宽表→财务/测算消费的端到端数据流，标注每步输入/输出/校验点,流程图覆盖全链条，含字段字典和接口契约,流程图随脚本/保司变更同步更新,数据工程/产品经理+刘敏然(实际路径).财务/测算(校验点),(无，待建设),未记录,C类·系统裁定,需要协调多部门定义端到端数据契约(当前流程依赖个人经验，不可复用),P1,二轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R031,PAY
PAY-R032,VN-PAY-01,建立财务独立抽查机制,C类,佣金数据从源表进入结算/财务使用环节,由财务部门独立抽查关键字段，在发布前执行，作为数据质量最后关卡,抽查覆盖率≥关键字段100%，抽查结果归档,人力不足时暂由刘敏然自助全检替代,财务经理.数据治理负责人.Mark(裁定),(待建立),未记录,C类·系统裁定,需要Mark裁定跨部门机制建立(财务抽查属跨部门协同，非单一团队可决定),P1,首轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R032,PAY
PAY-R033,VN-PAY-01,建立新脚本培训与宣导机制,C类,新脚本上线前后,脚本上线前T-7和上线后T+7各1次培训，覆盖财务/结算/测算全部消费方,培训签到率100%，消费方操作反馈零阻塞,新脚本字段/功能未完成前不强制推广,Carrie(脚本).刘敏然(培训素材).财务/结算(学员),(待建立),未记录,C类·系统裁定,宣导培训需Mark裁定资源(时间+人力)并划定强制执行窗口,P1,首轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R033,PAY
PAY-R034,VN-PAY-01,建立字段字典与参数主数据,C类,录入/ETL/计算环节需判断PI/融资/预缴/basic/extra等字段时,输出覆盖所有保司的参数字典(姓名-含义-类型-枚举值)，作为录入界面和脚本的逻辑源头,参数字典覆盖率≥95%保司，每季度同步更新,新增保司/产品时优先补入字典,产品部(PI/产品属性).刘敏然(实际口径).Carrie(工程实现),(待建设·CONFIG_PRODUCT_COMMISSION_FORMULA扩字段),未记录,B类·岗位边界,需要产品部提供权威的产品分类清单(当前仅有佣金表上不完整清单)，属跨部门依赖,P1,二轮·INSIGHT,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R034,PAY
PAY-R035,VN-PAY-01,建立低/高频保司分级标准,C类,保司费率更新后,高频保司T+1更新，低频保司可延长；建立正式保司频次分级表和SLA,分级标准经运营/工程/渠道三方确认，SLA可量化,低频保司延迟不影响渠道/客户承诺窗口,运营+工程+刘敏然(频次分级).财务/渠道(影响确认),(待建立),未记录,C类·系统裁定,需要跨部门联合定义分级标准(当前T+1/延长无具体量化和SLA规则),P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R035,PAY
PAY-R036,VN-PAY-01,建立书面化交接SOP,C类,新人入职/岗位交接时,将录音交接升级为书面SOP(流程图+规则+标准+操作方法)，配套样表和公式文档,SOP覆盖从脚本草稿到消费侧可读表全部环节，新人按SOP30天内可独立操作,复杂保司(永明)SOP需额外案例补充,刘敏然(编制SOP).产品文档(审核).工程(表字典确认),P1004(公式表).P2004(佣金率表),未记录,C类·系统裁定,将口头经验外化为书面SOP需投入编制时间和审核资源，Mark裁定优先级,P1,二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R036,PAY
PAY-R037,VN-PAY-01,建立ETL需求到上线SOP,C类,ETL脚本修改需求产生时,建立需求→开发→测试→上线的书面SOP(含需求提报模板、回归测试清单、上线审批),SOP已书面化，每次变更按SOP执行并归档记录,紧急修复可不待全面回归测试，但需在24h内补全,Carrie(ETL流程定义).刘敏然(需求方),(待产出),未记录,C类·系统裁定,Carrie已确认将产出ETL修改SOP，需Mark裁定时限和优先级,P1,二轮·EXECUTION(第三轮回填),1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R037,PAY
PAY-R038,VN-PAY-01,建立知识库与培训材料,C类,长期知识管理和人员培训需求,建立包含保司源文件样例、字段含义字典、每个保司每个牌照的计算公式的知识库,知识库覆盖全部保司，每季度同步更新,Carrie暂不可承担整理，需重新分配负责人,Carrie(建议整理方).刘敏然(知识提供).文档团队,(待建立),未记录,C类·系统裁定,知识库建设需Mark裁定负责人和时间表(当前仅框架明确，未启动),P2,二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R038,PAY
PAY-R039,VN-PAY-01,保护层check时间规则,C类,涉及付款凭证或结算数据的使用场景,确定数据在进入结算/市场佣金环节前的最后核验时点和标准,保护层check通过后数据方可用于结算,不同保司/产品类型可能需不同check粒度,财务部门(终验).数据治理(Check设计),(待设计),未记录,B类·岗位边界,保护层check时间规则需财务部门界定，超出刘敏然职责范围,P2,二轮(衍生需求),1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R039,PAY
PAY-R040,VN-PAY-02,人员关系表主数据更新规则,A类,商务岗位与合作方签约/变更关系后,更新人员关系表（协议主体、打款主体、转介费率、佣金级别），应派核心字段据此自动匹配,关系表信息与合同/补充协议一致，结算部门可在最新版本中直接引用,合作关系终止或协议到期时需及时标记失效并冻结该版本，不可直接删除,商务经理(维护)+蔡依娜(引用核对),人员关系表(在线WPS)·协议主体字段,口头经验,,,P0,首轮·DIAGNOSIS(信号1),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R001,PAY
PAY-R041,VN-PAY-02,协议主体/打款主体字段来源规则,A类,应派表填报协议主体和打款主体字段,引自人员关系表中对应字段，不自行编造；关系表中无记录时暂停应派,应派表中的协议主体、打款主体与合同/补充协议一致,偶发签约主体不一致(如玖富→Univue)：需补充协议确认正确打款主体后再执行,蔡依娜(引用执行)+商务(提供核对),应派表·协议主体/打款主体字段,口头经验,,,P0,首轮·DIAGNOSIS(信号1)+REVIEW(信号5),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R002,PAY
PAY-R042,VN-PAY-02,续保账单状态生命周期规则,A类,续保结算涉及账单状态判断(来源14种状态枚举),当前将14种历史状态归并为3种核心状态(Hold/不派/结算)，超过1-2年的临时状态统一合并为最终状态,所有续保记录的状态明确归入Hold/不派/结算三者之一，无歧义,Hold超30天未确认触发商务复核工单；Hold超60天需商务审批方可转为不派-超期,蔡依娜(状态维护)+商务(超期审批)+业管部(源头保单状态),续保账单状态字段,口头经验,,,P0,首轮·DIAGNOSIS(信号4)+二轮·EXECUTION(信号2),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R003,PAY
PAY-R043,VN-PAY-02,应派核字段来源边界规则,A类,应派表核心字段(协议主体/打款主体/转介费率),来源责任不在结算侧，而在于商务经理维护的人员关系表和MOMO/刘敏然提供的佣金级别表；结算侧仅负责整合与对账,结算侧不进有应派核字段的正确性验证，仅核对其是否与来源表一致,来源字段缺失或明显错误时，结算侧须暂停并反馈源头方补充,商务经理(主数据)+MOMO/刘敏然(费率)+蔡依娜(整合对账),应派表·协议主体/打款主体/转介费率,口头经验,,,P1,首轮·DIAGNOSIS(信号1),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R004,PAY
PAY-R044,VN-PAY-02,协议主体偶发不一致处理规则,A类,应派/对账时发现协议主体与实际签约主体不一致(如玖富签为Univue),主动询问业务并要求提供补充协议，确认正确打款主体后执行打款,补充协议落档，正确打款主体经法务/财务确认后执行,仅偶发时走补充协议通道；高频发生时须建立签约一致性系统校验,蔡依娜(发现+核实)+商务经理(补充协议)+法务(审查),应派表·协议主体字段,口头经验,,,P2,首轮·REVIEW(信号5),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R005,PAY
PAY-R045,VN-PAY-02,费用拆分多科目表头规则,A类,OR(推广费)拆分为权益费用和商务引荐费两个科目，打款主体不同,将转介费独立为一列，新增权益费用和商务引荐费两列，每列关联各自打款主体,每个费用科目唯一映射一个协议主体和一个打款主体，无空值,Basic转介费由SaaS主体代付；OR主体为新动力/新创世等,蔡依娜(表头改造+数据补录)+商务(确认主体)+法务(协议匹配),应派表·费用科目列(转介费/权益费用/商务引荐费),口头经验,,,P1,首轮·DIAGNOSIS(信号9),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R006,PAY
PAY-R046,VN-PAY-02,结算大表单人维护规则,A类,每期结算时,蔡依娜维护一整年的结算大表(WPS在线表)，每期建立独立文件夹记录单期凭证,结算大表与单期文件夹数据一致，可追溯每期对账结果,多人协作时须有审计日志和版本控制,蔡依娜(维护),结算大表(WPS在线表)·单期文件夹,口头经验,,,P2,首轮·EXECUTION(信号6),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R007,PAY
PAY-R047,VN-PAY-02,德约多层分润代派规则,A类,处理德约渠道的佣金结算(2026年前规则),代派理财师佣金→计算总部与理财师差额→派发差额给德约总部,理财师与机构的Total分别拆分计算，代派明细和差额计算记录可审计,续保业务仍沿用代派模式；新单可能切换为单层；德约未提供明细时不代派,蔡依娜(计算+代派)+德约对接人(数据提供),应派表·德约/理财师/机构拆分列,口头经验,,,P2,首轮·REVIEW(信号8),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R008,PAY
PAY-R048,VN-PAY-03,季度佣金级别表版本冻结规则,A类,每个季度开始,发布新版本佣金级别表(iCloud表)，发布前冻结上一季度版本为只读，新版本须经测算/商务/结算三方签署确认,三方签署齐全(测算/商务/结算)，版本号日期可追溯，上一版本已冻结,基本法/人员关系定义变更可能触发回溯补发，不受版本冻结限制,MOMO/刘敏然(测算+发布)+商务经理(主数据)+蔡依娜(复核),iCloud佣金级别表·版本号,口头经验,,,P1,首轮·DIAGNOSIS(信号1)+二轮·EXECUTION(信号10),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R001,PAY
PAY-R049,VN-PAY-03,佣金表不可逆发布审批规则,A类,佣金表发布前,三方签署(测算+商务+结算)校验播出率≤50%和同行支付≤88%(Total口径)，未通过不发布,三方电子签名或书面签字齐全，播出率和同行支付率均在阈值内,审批驳回非正式修正后重新走签；基本法触发回溯重算的场景不在此审批流程,MOMO/刘敏然(测算校验)+商务经理(费率对齐)+蔡依娜(复核拦截),佣金表·审批签章,口头经验,,,P1,首轮·DECISION(信号7),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R002,PAY
PAY-R050,VN-PAY-03,播出率/同行支付Total口径校验规则,A类,佣金表发布前,用首年+续保的Total应派÷Total应付计算播出率(≤50%)和同行支付率(≤88%),计算公式覆盖全生命周期Total口径；禁止用单期首年数据替代,测算团队发布时在校验表中明确标注计算口径和版本,MOMO/刘敏然(源头测算)+蔡依娜(二次校验),校验表·Total应派/Total应付,口头经验,,,P0,首轮·DIAGNOSIS(信号2)+二轮·DIAGNOSIS(信号6),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R003,PAY
PAY-R051,VN-PAY-03,基本法变更触发回溯补发规则,A类,BU发起基本法中人员关系定义变更(如一代玉成→一代一审),重新计算受影响历史订单的佣金并补发；常规季度费率更新不回溯,补发清单与变更记录一致，所有回溯操作保留原因和审批,仅人员关系定义变更触发回溯；季度费率调整仅适用于新业务，不回溯,BU负责人(发起变更)+蔡依娜(执行补发)+财务(核算),基本法规则库·人员关系定义字段,口头经验,,,P1,二轮·EXECUTION(信号10),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R004,PAY
PAY-R052,VN-PAY-03,推荐直属首销FIC比例规则,A类,计算推荐直属首销佣金时,按FIC(首年佣金)的20%或5%计算，比例取自基本法预定义,计算公式和比例与基本法一致，计算结果与佣金表对齐,比例由BU确认，结算侧不自行调整,蔡依娜(执行计算)+BU(确认比例),应派表·推荐直属首销字段,口头经验,,,P2,二轮·EXECUTION(信号10),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R005,PAY
PAY-R053,VN-PAY-03,业务V0→V1/财务V0→V1双轨版本规则,A类,结算数据流转时,废弃V0→V1→V2→V3线性流程，改用双轨：业务线(业务V0→业务V1)用于对账派发，财务线(财务V0→财务V1)用于记账付款,业务侧先走审批(王总→某某→理财师确认)得到V1；财务侧仅接收最终版V1由某某邮件发送,业务规则变更未同步到V0时需返工；企微和邮件分散留痕需关注审计合规,蔡依娜(业务侧V0→V1)+Carrie(财务侧V0→V1)+王总/某某(审批),业务V0/V1表·财务V0/V1表,口头经验,,,P0,二轮·DECISION(信号3)+EXECUTION(信号4),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R006,PAY
PAY-R054,VN-PAY-03,结算周期按业务线划分规则,A类,每期结算开始前,按业务线维度设置结算频次：多数业务线月结1次(上月16日→本月15日)，同行金贷/友民月结2次(中+月底)，续保月结1次(中期),累计期和结算频次按业务线正确配置,EG(同安金贷)设为月1次；续保由财务到账日触发，不遵循常规累计期,蔡依娜(执行)+Carrie(系统配置),结算大表·业务线/累计期/结算频次字段,口头经验,,,P1,二轮·DIAGNOSIS(信号5),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY003-R007,PAY
PAY-R055,VN-PAY-02,主数据变更审批流程,B类,商务变更协议主体/打款主体/费率时,建立受控台账，变更须走正式审批(商务发起→财务/法务审批→版本冻结),待确认：审批流程和版本冻结机制尚未书面化,紧急变更可先口头通知但24h内补正式审批,商务经理+法务+财务,人员关系表·变更日志,口头经验,A类·信息缺失,主数据变更目前通过共享在线表执行，无审批流程和版本冻结机制；需明确审批链和书面化SOP,P0,首轮·DIAGNOSIS(信号1)+二轮·DIAGNOSIS(信号7),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R009,PAY
PAY-R056,VN-PAY-02,应派表实时校验触发条件,B类,应派表发布前,对播出率≤50%和同行支付≤88%进行Total口径系统校验，超标阻断发布,待确认：当前无系统拦截，仅依赖手工校验表且维护人不定期更新,系统上线前过渡期须双人交叉复核校验表,蔡依娜(手工维护)+Carrie(系统开发),校验表·播出率/同行支付字段,口头经验,A类·信息缺失,应派表发布前无实时校验触发机制，当前依赖单人手工作业(gap002，P0红线)；需明确校验触发条件和系统化方案,P0,首轮·DIAGNOSIS(信号2)+二轮·DIAGNOSIS(信号6),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R010,PAY
PAY-R057,VN-PAY-02,播出率/同行支付Total口径计算规则,B类,播出率和同行支付率计算时,以Total应派/Total应付(首年+续保全生命周期)为计算口径,待确认：实际计算口径由MOMO/刘敏然测算侧定义，结算侧当前权限限于单期首年,同行主体与非同行主体的阈值分别为88%和50%,MOMO/刘敏然(源头测算)+蔡依娜(二次校验),校验表·Total口径计算逻辑,口头经验,A类·信息缺失,"Total口径计算公式尚未由测算侧书面化给结算侧，结算侧当前只有首年数据视角；需MOMO/刘敏然确认公式【2026-06-26补充·来源蔡依娜（二次）jasper版重提取】：受访人给出的计算口径为""拨出率=转介费total/应收total""，分母用的是""应收""而非本行原记录的""应付""，两者是否为同一概念的不同表述还需测算侧(MOMO/刘敏然)确认；另需确认88%阈值当前是否仍然有效、总账表模板与维护频率、以及与财勤达法单的联动关系",P0,首轮·DIAGNOSIS(信号2)+二轮·DIAGNOSIS(信号6)+JR2·蔡依娜（二次）jasper版,1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R011,PAY
PAY-R058,VN-PAY-02,收款主体映射变更审批链,B类,合作方/业务方要求更改收款主体(如重庆吴敬→百伯文),须走正式审批(业务发起→财务/法务审批)，不可口头通知即生效,待确认：当前为口头通知(某某/戴博文口头告知)，无审批流和版本管理,紧急变更可先执行但24h内补书面审批和留痕,某某/戴博文(业务方)+蔡依娜(执行)+财务/法务(审批),收款主体映射字典·批准记录,口头经验,A类·信息缺失,收款主体映射变更目前为口头通知即执行的模式，无审批流、版本管理和审计留痕；需明确审批链条和字典维护负责人,P1,二轮·DIAGNOSIS(信号7),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R012,PAY
PAY-R059,VN-PAY-02,佣金表出表前最终审批岗,B类,佣金表对外发布前,由财务或牌照端合规部门负责人担任最终审批岗，签字确认后发布,待确认：当前审批角色和责任归属模糊——究竟由财务/合规/数据执行侧谁承担最终审批,系统上线前过渡期须双签(数据执行+财务/合规),蔡依娜(执行)+财务/合规负责人(审批·待明确),佣金表·审批签章,口头经验,B类·岗位边界,出表前最终校核岗位的责任归属不清(财务vs合规vs数据执行侧)，属跨部门职责划分问题；需管理层裁定,P1,二轮·DIAGNOSIS(信号8),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R013,PAY
PAY-R060,VN-PAY-02,彭文基本法费率配置复核机制,B类,彭文完成基本法关系表费率配置后,须有独立岗位(财务或风控)对配置结果与审批记录交叉复核，确认无误后生效,待确认：当前无独立复核机制，结算侧只能被动接收数据；费率错误在理财师对账后才暴露,王总审批通过后系统应强制生成不可篡改记录作为审计依据,王总(审批)+彭文(配置)+风控/结算(复核·待建立),基本法关系表·费率配置字段,口头经验,B类·岗位边界,彭文配置费率后无独立交叉验证，结算侧无法复核费率准确性；需管理层确定复核岗位归属(风控/财务/结算),P0,首轮·DIAGNOSIS(信号10),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R014,PAY
PAY-R061,VN-PAY-02,建立主数据SSOT(受控台账),C类,主数据变更频繁且无统一可信源,建设受控的主数据台账，含人员关系表/收款映射字典/佣金级别表，所有变更留痕,台账覆盖全部合作方和全部结算字段，变更记录可审计,过渡期先用在线Excel加版本冻结和审批日志实现半自动化,数据治理负责人+商务经理+蔡依娜,(待建设·主数据台账),未记录,C类·系统裁定,需要管理层裁定主数据治理优先级和平台选型(当前依赖共享在线表+口头变更),P0,首轮·DIAGNOSIS(信号1)+二轮·DIAGNOSIS(信号7),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R015,PAY
PAY-R062,VN-PAY-02,开发阈值校验引擎(播出率/同行支付),C类,佣金表发布前须校验播出率≤50%和同行支付≤88%,开发系统化规则引擎，计算Total口径播出率/同行支付率，超标自动阻断发布,校验引擎覆盖全部业务线和保司，P0红线不可跳过,系统上线前过渡方案：双人手工交叉复核校验表+财务签字确认,Carrie(IT开发)+MOMO/刘敏然(测算规则)+蔡依娜(二次复核),(待开发·校验引擎),未记录,C类·系统裁定,当前完全依赖人工(单一维护人且不定期)，属P0合规红线gap002；需Mark裁定开发优先级和资源,P0,首轮·DIAGNOSIS(信号2)+二轮·DIAGNOSIS(信号6+11),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R016,PAY
PAY-R063,VN-PAY-02,建立结算AB角配置,C类,结算岗位仅蔡依娜一人，新人上手需2个月,招聘或培养B角，目标下季度末B角可独立完成80%结算工作,B角通过SOP培训+实操考核，2个月内达标,B角到位前由测算侧或财务侧兼职QC作为过渡,HR(招聘)+蔡依娜(培训)+管理层(批准HC),结算大表·多人维护,未记录,C类·系统裁定,当前结算仅一人无AB角，新人上手需2个月，属单点故障风险(P0)；需管理层批准HC和招聘计划,P0,二轮·DIAGNOSIS(信号1),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R017,PAY
PAY-R064,VN-PAY-02,更新应派SOP(目标上手1个月),C类,新人上手结算工作,建立书面SOP含流程图/步骤/规则/标准/操作方法，目标将上手周期从2个月压缩到1个月,SOP覆盖全部业务线结算规则(含周期/累计期/续保/德约特例)，新人按SOP可操作,复杂渠道(德约多层分润)需额外案例讲解,蔡依娜(编制)+HR(排期)+管理层(资源批准),(待产出·应派SOP文档),未记录,C类·系统裁定,当前SOP过期未维护(旧版已失效)，需管理层批准蔡依娜编制时间(预估3-5工作日),P1,二轮·DIAGNOSIS(信号1)+EXECUTION(信号9),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R018,PAY
PAY-R065,VN-PAY-02,建立收款主体映射治理体系,C类,收款主体映射变更频繁且无治理,启动主数据治理项目：为收款主体映射建立Data Owner+审批链+版本号+生效日期+变更原因字段,所有收款主体变更可追溯，支付前系统校验收款账户与主体匹配,过渡方案：建立Excel台账+双签审批(财务+法务),法务/财务(审批)+数据治理负责人(字典)+蔡依娜(执行),收款主体映射字典·版本控制字段,未记录,C类·系统裁定,需要Mark裁定主数据治理项目负责人和资源(当前字典无人维护、无法访问),P1,二轮·DIAGNOSIS(信号7),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R019,PAY
PAY-R066,VN-PAY-02,建立系统化审批留痕(替代企微/邮件),C类,佣金表审批、对账单确认等关键决策点,建设统一的审批系统(OA/Jira)，结构化留痕、可追溯、可审计，替代企业微信和邮件的分散沟通,所有审批记录集中归档，变更日志可追溯，满足审计要求,过渡期保持企微/邮件但需统一归档到共享文件夹,IT/产品经理+管理层(平台选型),(待选型·审批系统),未记录,C类·系统裁定,当前依赖企微和邮件分散留痕，审计合规性不足；需Mark裁定审批系统选型和实施时间,P1,二轮·EXECUTION(信号4),1,PAY002_规则清单_蔡依娜_v1.0(原始docx对应录音),v1.0,PAY002-R020,PAY
PAY-R067,VN-PAY-05,佣金率差异识别规则,A类,保司实收佣金与我方应收记录不一致,判断差异原因归类为三种之一：佣金率错误/汇率差异/佣金超100%被hold,差异归类准确，与后续处理流程(追讨/核销/接受)对应,实收多于应收时(保司多付)须特别标注并安排退款或冲抵,财务人员(Chaya/Soso·对账执行),Carry对账表·差异原因字段,口头经验,,,P0,首轮·DIAGNOSIS(信号1),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R001,PAY
PAY-R068,VN-PAY-05,汇率差异上限规则,A类,保司实收与我方应收因汇率产生差异,汇率差异通常不超过100港币(多数20-50港币)，小额差异接受核销,汇率差值≤100港币，差异方向(多/少)已记录,超过100港币的汇率差异需升级为中台排查,财务人员(Chaya/Soso),Carry对账表·汇率差异字段,口头经验,,,P1,首轮·DIAGNOSIS(信号1)+二轮·INSIGHT(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R002,PAY
PAY-R069,VN-PAY-05,100%佣金封顶Hold规则,A类,保司对特定offer设置佣金支付上限(100%)，超出部分被Hold,识别Hold状态的超限部分，记录并追踪后续是否补发,Hold金额与保司账单一致，后续补发跟踪记录完整,无Hold条款的保司/产品不适用此规则,财务人员(Chaya/Soso)+中台(蔡依娜·对账确认),Carry对账表·Hold标记字段,口头经验,,,P1,首轮·DIAGNOSIS(信号1),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R003,PAY
PAY-R070,VN-PAY-05,永明月结应收逆推核对规则,A类,永明每月提供佣金账单但仅含总数无明细,基于我方系统逐单计算理论应收佣金总额，加总后与永明总数比对；差异人工逐单排查,我方计算总额与永明总数差异率控制在可接受范围，差异已定位原因,永明提供明细对账单后可切换为逐笔核销模式,财务人员(Chaya/Soso)+中台(应收计算),永明应收计算模板·保单级明细,口头经验,,,P0,首轮·DIAGNOSIS(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R004,PAY
PAY-R071,VN-PAY-06,实收-中台反馈对账流程,A类,财务侧收到保司实收佣金(银行到账)后,记录实收金额并反馈给中台(蔡依娜)，中台将实收与应收进行匹配，识别差异,实收金额与银行流水一致，反馈给中台的数据完整,财务侧不掌握应收计算逻辑，差异识别和分析由中台负责,财务人员(Chaya/Soso·实收记录)+蔡依娜(应收匹配),实收记录表·银行到账,口头经验,,,P1,二轮·DIAGNOSIS(信号1),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY006-R001,PAY
PAY-R072,VN-PAY-07,续保小额差异不追索规则,A类,续保客户实缴保费少于应付金额(Shortage),不向客户/渠道追索小额欠款，内部消化损失,Shortage金额≤100港币，已在会计科目中正确核算,仅适用于续保，新单不适用(新单保费不足则保单不生效)；超过100港币须上报审批,财务总监+运营总监(政策制定)+Chaya/Soso(执行),续保Shortage·会计科目,口头经验,,,P2,二轮·DECISION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY007-R001,PAY
PAY-R073,VN-PAY-07,Shortage仅续保适用边界规则,A类,Shortage决策适用范围判断,严格限定于续保业务，新单保费不足时保险公司直接要求补足，不应适用不追索,续保和新单的Shortage处理分别走不同流程,因银行手续费/汇率波动等外部原因导致的小额差异才适用,财务人员(Chaya/Soso)+渠道管理(培训传达),续保Shortage·适用标记,口头经验,,,P2,二轮·DECISION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY007-R002,PAY
