action_id,node_id,content,source,confidence,action_subtype,generates_rule,l_layer,mark_decision,status,source_type,action_description,action_owner,expected_deliverable,blocker,completion_evidence,action_tier,executor_dept
S4-KA-KAET-01-29,VN-KAET-01,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,5,KA评估定级记录,待执行,,
S4-KA-KAGA-01-30,VN-KAGA-01,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,3,KA业绩汇总,待执行,,
S4-KA-KAOP-01-31,VN-KAOP-01,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,4,KA上架就绪确认,待执行,,
S4-KA-KAEM-02-32,VN-KAEM-02,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,1,KA资讯发放核销记录,待执行,,
S4-KA-KASC-01-33,VN-KASC-01,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,1,KA合同/协议签署版,待执行,,
S4-PARTNER-IBRD-01-34,VN-IBRD-01,PARTNER域,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,PARTNER域,待指定,1,合作伙伴尽调记录,待执行,,
S4-PARTNER-MGA-01-35,VN-MGA-01,PARTNER域,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,PARTNER域,待指定,2,联合运营需求诊断包,待执行,,
S4-PARTNER-MGA-02-36,VN-MGA-02,PARTNER域,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,PARTNER域,待指定,2,联合运营框架方案,待执行,,
S4-PARTNER-MGA-03-37,VN-MGA-03,PARTNER域,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,PARTNER域,待指定,2,联合运营合约包,待执行,,
S4-PARTNER-URD-01-38,VN-URD-01,PARTNER域,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,PARTNER域,待指定,2,联合运营需求诊断报告,待执行,,
S4-PARTNER-IBRD-01-39,VN-IBRD-01,待裁定,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,待裁定,待指定,DVN-MGA-01-025001,[待Mark裁定] 合作伙伴尽调记录: Gate③追溯FAIL，是否纳入补建优先级？需Mark裁定是否启动补建流程,待执行,,
S4-PARTNER-MGA-02-40,VN-MGA-02,待裁定,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,待裁定,待指定,DVN-MGA-03-025003,[待Mark裁定] 联合运营框架方案: 全维度空白，是否纳入补建优先级？Gate全FAIL，需Mark裁定是否启动补建流程,待执行,,
S4-PARTNER-URD-01-41,VN-URD-01,待裁定,PARTNER_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,待裁定,待指定,#,[待Mark裁定] 联合运营需求诊断报告: 全维度空白，是否纳入补建优先级？Gate全FAIL，需Mark裁定是否启动补建流程,待执行,,
S4-PAY-PAY-09-42,VN-PAY-09,Mark+[数据底座架构师]联合裁定归口部门→建fact_offsystem_flow,PAY_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,Mark+[数据底座架构师]联合裁定归口部门→建fact_offsystem_flow,待指定,Gate①②③→PASS,BP V2完全遗漏37.2M HKD,待执行,③Mark裁定,Mark / 财务部 / [数据底座架构师] / IT
S4-PAY-PAY-04-43,VN-PAY-04,Mark裁定合规负责人→COM-14/15补建→阈值监控上线,PAY_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,Mark裁定合规负责人→COM-14/15补建→阈值监控上线,待指定,Gate①②③→PASS,IA规则未代码化+合规岗空缺,待执行,③Mark裁定,Mark / IT / [佣金对账执行岗] / [合规管理岗]
S4-PAY-PAY-06-44,VN-PAY-06,Mark裁定FPG-05归属→dim_agreement_param建表,PAY_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,Mark裁定FPG-05归属→dim_agreement_param建表,待指定,Gate①②③→PASS,四类协议参数散落+人工合并,待执行,③Mark裁定,Mark / IT / [应派计算执行岗] / [数据底座架构师]
S4-PAY-PAY-08-45,VN-PAY-08,选型报销SaaS/自建→L3-EXP+EXP-01~05,PAY_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,选型报销SaaS/自建→L3-EXP+EXP-01~05,待指定,Gate①②③→PASS,完全纸质化+流程未建,待执行,③Mark裁定,Mark / IT / [行政HR管理岗]
S4-TREASURY-BAM-01-46,VN-BAM-01,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复,TREASURY_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复,待指定,Gate①②③→PASS,三Gate全失（挂数+落地+追溯），银行账户全生命周期7项子产物全部缺乏Gate验证证据,待执行,,
S4-TREASURY-CFM-01-47,VN-CFM-01,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复,TREASURY_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复,待指定,Gate①②③→PASS,三Gate全失（挂数+落地+追溯），现金流管理9项子产物全部缺乏Gate验证证据,待执行,,
